     0/599     4.61G    0.1106   0.03577    0.0599    0.2063         8       640         0         0  0.002408 0.0003566    0.1105   0.02841   0.05714
   162/599     6.06G    0.0243   0.01313   0.00103   0.03846        16       640    0.6034    0.7955    0.8088    0.5548   0.02302   0.01126  0.001567
   163/599     6.06G   0.02414   0.01315   0.00107   0.03837        12       640    0.7117    0.9955    0.9887    0.5507   0.02248   0.01156  0.001481
   164/599     6.06G   0.02379   0.01304  0.001026   0.03785        12       640    0.6877    0.9953    0.8895    0.5932   0.02297   0.01212   0.00145
   165/599     6.06G   0.02343   0.01227 0.0009795   0.03668         7       640    0.6999    0.9918    0.8882    0.5662   0.02302   0.01131  0.001518
   166/599     6.06G   0.02366   0.01266  0.001013   0.03733         8       640    0.7427    0.9955    0.9898    0.5752   0.02306   0.01122  0.001543
   167/599     6.06G   0.02288   0.01321   0.00107   0.03716        14       640    0.7145    0.9955    0.9883    0.6113   0.02237    0.0112  0.001535
   168/599     6.06G   0.02326   0.01252  0.001069   0.03685        21       640    0.7314    0.9909    0.9866    0.6096   0.02365   0.01125  0.001513
   169/599     6.06G   0.02345   0.01309  0.001117   0.03766        18       640    0.6783    0.9955    0.8876    0.6261   0.02218   0.01167  0.001436
   170/599     6.06G   0.02362   0.01293   0.00102   0.03757        20       640    0.7186    0.9955    0.8858    0.5774   0.02196     0.011  0.001389
   171/599     6.06G   0.02265   0.01297  0.000963   0.03658        19       640    0.6029    0.7918    0.7885    0.4576   0.02226   0.01067  0.001312
   172/599     6.06G    0.0249   0.01263   0.00103   0.03856        13       640     0.617     0.927    0.8546    0.5405   0.02333   0.01122   0.00142
   173/599     6.06G    0.0226   0.01219  0.001054   0.03585        24       640    0.6446    0.7955    0.8382    0.6232   0.02127   0.01135  0.001541
   174/599     6.06G    0.0239   0.01348  0.001065   0.03845        25       640    0.6135    0.7909    0.7834    0.5939   0.02168   0.01138  0.001514
   175/599     6.06G   0.02239   0.01283  0.001034   0.03626        19       640    0.6233    0.7921    0.7876    0.6011   0.02169   0.01167  0.001403
   176/599     6.06G   0.02282   0.01309  0.001089   0.03699        18       640    0.7137    0.9955    0.8876    0.6063   0.02015   0.01128  0.001452
   177/599     6.06G   0.02415   0.01185  0.001014   0.03702        17       640    0.6701    0.9909    0.9848     0.577   0.02269   0.01174  0.001446
   178/599     6.06G   0.02419   0.01279 0.0009987   0.03798        14       640    0.6281    0.7955    0.7895    0.5803   0.02227   0.01225   0.00155
   179/599     6.06G   0.02299   0.01223 0.0009592   0.03619        19       640    0.6385    0.7909    0.7858    0.5478   0.02281   0.01236  0.001505
   180/599     6.06G    0.0222   0.01255  0.001026   0.03577        17       640    0.6028    0.7875    0.7829    0.5682   0.02102   0.01218  0.001393
   181/599     6.06G   0.02342   0.01255 0.0009869   0.03696        27       640    0.7466    0.9821    0.8889    0.5999    0.0206    0.0122  0.001431
   182/599     6.06G   0.02266   0.01272  0.001003   0.03638        13       640    0.7492    0.9955    0.9892    0.5677   0.01987   0.01108  0.001428
   183/599     6.06G   0.02222   0.01238  0.001017   0.03562        16       640    0.7557    0.9955    0.9881    0.6004   0.02126   0.01148  0.001446
   184/599     6.06G   0.02306   0.01271 0.0009555   0.03673        11       640    0.6401    0.7909    0.8362    0.6045   0.02097   0.01114  0.001394
   185/599     6.06G    0.0227   0.01292  0.001048   0.03667        27       640    0.6353    0.7955    0.7891    0.6336   0.01994   0.01075  0.001437
   186/599     6.06G   0.02266   0.01309  0.000926   0.03667        19       640    0.6947    0.9921    0.8865    0.5425   0.02314   0.01288   0.00138
   187/599     6.06G   0.02239   0.01266  0.001012   0.03607        16       640    0.6462    0.7955     0.788    0.5787   0.02124   0.01133  0.001426
   188/599     6.06G   0.02325    0.0129  0.001047   0.03719        19       640    0.7629    0.9955    0.9893    0.6393   0.02089   0.01096  0.001457
   189/599     6.06G   0.02165   0.01248  0.001059   0.03519        15       640    0.6047    0.7955    0.7883    0.5902   0.02152   0.01082  0.001395
   190/599     6.06G   0.02204   0.01167 0.0009698   0.03468        14       640    0.6381    0.7955    0.7888    0.6111   0.01992   0.01054  0.001336
   191/599     6.06G   0.02234   0.01214 0.0009641   0.03544        25       640    0.6561    0.7918      0.79    0.5904   0.02178   0.01175  0.001426
   192/599     6.06G   0.02214   0.01268  0.001033   0.03586        18       640    0.7499    0.9955    0.8893    0.6039   0.02199   0.01112   0.00144
   193/599     6.06G   0.02139    0.0121  0.001015   0.03451        20       640    0.7617    0.9955    0.8899    0.5598   0.02144   0.01102  0.001436
   194/599     6.06G   0.02273   0.01232  0.001026   0.03608        22       640    0.7161    0.9955    0.8568    0.5969   0.02085   0.01131  0.001319
   195/599     6.06G   0.02183   0.01196 0.0009769   0.03476         9       640    0.6656    0.7951    0.7879    0.5935    0.0195   0.01095  0.001293
   196/599     6.06G   0.02193   0.01248 0.0009804   0.03539        16       640    0.7243    0.9953    0.8861    0.6434   0.02028   0.01099  0.001279
   197/599     6.06G   0.02248     0.012 0.0009188   0.03539        18       640    0.7193    0.9955    0.9854    0.5967   0.02109   0.01082   0.00133
   198/599     6.06G   0.02215   0.01181  0.001088   0.03505        17       640    0.6639    0.7955    0.7879    0.6308   0.02059   0.01106  0.001498
   199/599     6.06G   0.02197   0.01181  0.001024    0.0348        19       640    0.6511    0.7955    0.7869    0.6373   0.01973   0.01087  0.001452
